pedido_id,date_id,data,horario,endereco,pizza_id,pizza,quantidade,valor_total
23,28,2024-01-28,23:15:00,"Loteamento Aragão, 1, Conjunto Serra Verde, 98192994 Novaes de Minas / SE",7,Pepperoni,1,52.9
24,69,2024-03-09,22:00:00,"Vale de Garcia, 86, Cônego Pinheiro 2ª Seção, 17803249 Rios / PR",3,Mussarela,2,83.8
25,59,2024-02-28,21:45:00,"Distrito Isabel Duarte, 158, Salgado Filho, 78894327 Camargo / PI",4,Portuguesa,1,46.9
26,87,2024-03-27,19:45:00,"Estrada de da Rocha, 9, Vila Suzana Segunda Seção, 07371-854 Rezende da Serra / SE",10,Banana com Canela,1,43.9
27,58,2024-02-27,18:30:00,"Chácara de Farias, 7, Vila Nova Paraíso, 14054-552 da Rosa / TO",9,Chocolate,3,134.7
28,84,2024-03-24,20:20:00,"Esplanada de Gonçalves, 53, Dom Cabral, 91407-626 das Neves de Peixoto / GO",8,Vegetariana,3,143.7
29,61,2024-03-01,20:20:00,"Núcleo Sá, 115, Santa Lúcia, 40094-777 Costa de Siqueira / AM",10,Banana com Canela,1,43.9
30,72,2024-03-12,23:20:00,"Sítio Francisco Pinto, 87, Monte Azul, 59464-549 Guerra da Serra / PA",3,Mussarela,2,83.8
31,2,2024-01-02,22:15:00,"Largo de da Rocha, 3, Cidade Jardim Taquaril, 29743224 Lopes do Norte / MS",4,Portuguesa,1,46.9
32,62,2024-03-02,18:30:00,"Estrada Eduarda da Rocha, 197, São Vicente, 83780-216 Barros / CE",7,Pepperoni,1,52.9
33,34,2024-02-03,19:20:00,"Jardim Novais, 29, Esplanada, 79250-992 Lima / DF",4,Portuguesa,3,140.7
34,76,2024-03-16,21:10:00,"Núcleo de Azevedo, Conjunto Paulo Vi, 72085403 Farias / AC",2,Calabresa,2,85.8
35,1,2024-01-01,18:15:00,"Estação de Câmara, 801, Vila Tirol, 19422-148 Cassiano do Galho / SE",9,Chocolate,3,134.7
36,34,2024-02-03,21:40:00,"Parque Lopes, 164, Itaipu, 19367533 Vieira / MS",4,Portuguesa,3,140.7
37,59,2024-02-28,18:50:00,"Vila Pires, 1, Pindura Saia, 88636959 Pires / GO",8,Vegetariana,1,47.9
38,62,2024-03-02,21:10:00,"Esplanada Oliver Santos, 14, São João, 28622-734 Mendes / AM",2,Calabresa,3,128.7
39,73,2024-03-13,23:50:00,"Praça Montenegro, 28, Jardim Dos Comerciarios, 04002-746 Freitas / AP",5,Frango com Catupiry,2,99.8
40,81,2024-03-21,20:15:00,"Vereda Andrade, 68, Conjunto Capitão Eduardo, 50401053 Novaes / PA",3,Mussarela,3,125.7
41,11,2024-01-11,19:20:00,"Rodovia Moraes, 2, Concórdia, 34079-596 Vieira de Minas / RO",2,Calabresa,2,85.8
42,42,2024-02-11,22:20:00,"Área Cecília Nascimento, 74, Planalto, 57106-613 Macedo da Mata / CE",9,Chocolate,3,134.7
43,48,2024-02-17,23:50:00,"Ladeira Rhavi Brito, 80, Barão Homem De Melo 2ª Seção, 61568-133 Pinto / SE",9,Chocolate,1,44.9
44,57,2024-02-26,18:20:00,"Passarela Viana, 99, Copacabana, 63965-217 da Luz do Campo / AM",10,Banana com Canela,1,43.9
45,76,2024-03-16,21:10:00,"Trevo Henry Gabriel Pinto, 31, Paulo Vi, 42273201 Gomes / MG",9,Chocolate,2,89.8
46,76,2024-03-16,21:45:00,"Quadra de Teixeira, 682, Vila Esplanada, 82482-624 da Costa / MG",8,Vegetariana,1,47.9
47,6,2024-01-06,20:45:00,"Fazenda Ana Clara Fernandes, 54, Conjunto Novo Dom Bosco, 56211-125 Monteiro das Pedras / SP",3,Mussarela,3,125.7
48,60,2024-02-29,21:20:00,"Viela Hellena Fonseca, Planalto, 57502-527 da Cruz / SP",2,Calabresa,3,128.7
49,57,2024-02-26,21:45:00,"Ladeira Leão, 446, Aeroporto, 70658-375 Freitas / RO",10,Banana com Canela,1,43.9
50,82,2024-03-22,22:40:00,"Recanto de Cavalcante, 27, Vila Esplanada, 32399-432 Novais de Cassiano / PB",5,Frango com Catupiry,1,49.9
51,17,2024-01-17,22:10:00,"Condomínio de da Rosa, Conjunto Bonsucesso, 43093-414 Moraes / AP",2,Calabresa,1,42.9
52,42,2024-02-11,19:15:00,"Viela Campos, 184, Marieta 2ª Seção, 01723713 Cardoso / MS",7,Pepperoni,3,158.7
53,30,2024-01-30,19:15:00,"Aeroporto Ian Cavalcanti, 630, Vila Aeroporto, 17672-882 Pastor do Sul / PR",5,Frango com Catupiry,1,49.9
54,73,2024-03-13,19:30:00,"Quadra Silveira, 91, João Paulo Ii, 85070902 da Mata do Oeste / RO",8,Vegetariana,1,47.9
55,29,2024-01-29,20:10:00,"Vereda Silveira, 958, São Benedito, 72077-127 Lopes / RS",9,Chocolate,3,134.7
56,42,2024-02-11,21:45:00,"Vereda Vasconcelos, Luxemburgo, 69687-915 Vargas / RN",4,Portuguesa,3,140.7
57,29,2024-01-29,21:40:00,"Trevo de Castro, 69, Conjunto Minas Caixa, 74376094 Mendonça / RR",3,Mussarela,1,41.9
58,38,2024-02-07,21:15:00,"Fazenda de Duarte, 75, Conjunto Califórnia Ii, 76622-066 Ribeiro / RR",1,Margherita,2,79.8
59,8,2024-01-08,22:15:00,"Rodovia Vinícius Nogueira, 21, Glória, 42080198 Silveira / RR",4,Portuguesa,3,140.7
60,9,2024-01-09,22:40:00,"Rua de Pinto, 3, Cruzeiro, 07595-908 Azevedo / TO",1,Margherita,2,79.8
61,47,2024-02-16,22:45:00,"Largo Câmara, 86, Cachoeirinha, 97339-066 Cardoso / SC",8,Vegetariana,2,95.8
62,46,2024-02-15,21:40:00,"Passarela Nathan Guerra, 50, Independência, 77244-861 Fernandes de Ferreira / PB",2,Calabresa,3,128.7
63,43,2024-02-12,23:45:00,"Travessa Martins, 87, Santo André, 43126-185 Rezende do Oeste / PI",9,Chocolate,2,89.8
64,86,2024-03-26,21:45:00,"Viaduto Nogueira, 63, São Gabriel, 54124319 Vieira do Amparo / AC",1,Margherita,3,119.7
65,73,2024-03-13,19:20:00,"Largo Luiz Felipe Sousa, 55, Sport Club, 49230736 Barros do Campo / RN",7,Pepperoni,2,105.8
66,27,2024-01-27,21:45:00,"Lagoa Antônio Garcia, 45, Vila Jardim São José, 74517-124 Rios / RS",9,Chocolate,3,134.7
67,59,2024-02-28,23:00:00,"Trevo Rael Silveira, 60, João Alfredo, 68551-383 Monteiro da Praia / MA",1,Margherita,3,119.7
68,27,2024-01-27,19:50:00,"Favela de Albuquerque, 86, Madri, 85805451 da Luz de Teixeira / GO",4,Portuguesa,1,46.9
69,11,2024-01-11,20:10:00,"Viela Fernandes, 40, Santa Inês, 33530-341 Fonseca / AC",3,Mussarela,1,41.9
70,2,2024-01-02,21:45:00,"Jardim Duarte, 65, Flavio Marques Lisboa, 02929-489 Azevedo de Minas / RN",4,Portuguesa,3,140.7
71,87,2024-03-27,23:00:00,"Travessa Henry Gabriel Jesus, 9, Marieta 3ª Seção, 38861882 Pinto / TO",8,Vegetariana,3,143.7
72,14,2024-01-14,20:20:00,"Vila de Casa Grande, 6, Pongelupe, 87811175 Melo / ES",10,Banana com Canela,3,131.7
73,84,2024-03-24,21:15:00,"Lagoa Barbosa, 62, Vila Aeroporto Jaraguá, 17269400 da Cunha de Borges / RR",10,Banana com Canela,1,43.9
74,19,2024-01-19,23:40:00,"Pátio Laura Moreira, 60, Concórdia, 41767-759 Camargo / SE",3,Mussarela,1,41.9
75,70,2024-03-10,20:40:00,"Viaduto Raul Santos, 930, João Alfredo, 26089662 Silveira / PA",5,Frango com Catupiry,3,149.7
76,41,2024-02-10,22:00:00,"Lagoa Dom da Rosa, 49, Vila Boa Vista, 88267-379 Pires da Praia / PI",6,Quatro Queijos,1,48.9
77,28,2024-01-28,22:50:00,"Lagoa Carvalho, Marilandia, 45119-260 Lopes das Pedras / SC",3,Mussarela,3,125.7
78,14,2024-01-14,22:50:00,"Trecho Moura, 5, Das Industrias I, 82103484 das Neves / AP",4,Portuguesa,1,46.9
79,86,2024-03-26,20:30:00,"Loteamento Monteiro, 4, Vila São Dimas, 00123-656 Viana / RO",1,Margherita,3,119.7
80,84,2024-03-24,20:40:00,"Viaduto Fernandes, 36, Bonfim, 94490700 Sá de Azevedo / GO",4,Portuguesa,1,46.9
81,76,2024-03-16,19:15:00,"Distrito Ravy Guerra, 9, Esplanada, 99059-046 Alves de Goiás / PE",9,Chocolate,3,134.7
82,76,2024-03-16,20:15:00,"Campo Eloah Araújo, Tiradentes, 79240-106 da Conceição da Praia / RO",10,Banana com Canela,1,43.9
83,78,2024-03-18,19:45:00,"Quadra de Pires, 330, Conjunto São Francisco De Assis, 30347-997 Marques de Minas / MT",4,Portuguesa,1,46.9
84,89,2024-03-29,18:15:00,"Colônia de da Paz, 65, Monte São José, 92018159 Moraes Grande / RO",10,Banana com Canela,2,87.8
85,53,2024-02-22,20:00:00,"Rua de da Costa, 861, Nova Vista, 88347606 Dias de Goiás / PI",4,Portuguesa,2,93.8
86,7,2024-01-07,18:40:00,"Área Câmara, 34, Suzana, 29095533 Albuquerque / RJ",10,Banana com Canela,2,87.8
87,16,2024-01-16,22:30:00,"Rodovia de Silva, 93, Santa Monica, 46254457 Viana Verde / ES",7,Pepperoni,2,105.8
88,64,2024-03-04,23:40:00,"Largo de Vasconcelos, 102, Vila Barragem Santa Lúcia, 14815-244 Pereira das Flores / RR",6,Quatro Queijos,3,146.7
89,25,2024-01-25,22:45:00,"Viaduto de Jesus, 842, Confisco, 93399418 Porto das Pedras / RJ",10,Banana com Canela,3,131.7
90,54,2024-02-23,20:20:00,"Esplanada de Cassiano, 889, Ventosa, 70151-564 da Luz de Montenegro / AC",8,Vegetariana,1,47.9
91,63,2024-03-03,21:40:00,"Viaduto Marques, 3, Brasil Industrial, 15670-164 Aparecida Paulista / PE",8,Vegetariana,1,47.9
92,1,2024-01-01,23:15:00,"Morro Machado, 99, Nossa Senhora Aparecida, 30140-406 Sousa / MS",6,Quatro Queijos,2,97.8
93,5,2024-01-05,20:00:00,"Passarela Peixoto, 42, Novo Aarão Reis, 97626-334 Vasconcelos de Pires / TO",1,Margherita,3,119.7
94,10,2024-01-10,21:15:00,"Vereda Thiago Siqueira, Minas Caixa, 07615-269 Pastor / AL",10,Banana com Canela,1,43.9
95,60,2024-02-29,18:10:00,"Jardim Novais, 57, Novo Santa Cecilia, 63533-246 Moura da Mata / RO",8,Vegetariana,2,95.8
96,7,2024-01-07,22:40:00,"Loteamento de Santos, 402, Goiania, 74792-568 Montenegro de Rocha / AP",4,Portuguesa,1,46.9
97,27,2024-01-27,19:40:00,"Colônia Maria Cecília Castro, 19, Conjunto Taquaril, 09804-492 Brito de Nogueira / TO",5,Frango com Catupiry,1,49.9
98,52,2024-02-21,23:15:00,"Vereda Fonseca, 50, Mirtes, 11192912 Brito / RS",7,Pepperoni,2,105.8
99,74,2024-03-14,22:45:00,"Aeroporto Olívia Duarte, 49, Indaiá, 71881-798 Brito da Praia / AP",8,Vegetariana,2,95.8
100,91,2024-03-31,23:10:00,"Aeroporto Nicolas Leão, 53, Sagrada Família, 08943801 Oliveira do Amparo / CE",2,Calabresa,1,42.9
101,31,2024-01-31,19:30:00,"Pátio Campos, 9, Outro, 67458-110 Alves de Macedo / PB",9,Chocolate,3,134.7
102,79,2024-03-19,21:15:00,"Praia Moreira, 8, Vila Madre Gertrudes 4ª Seção, 95545-567 Vasconcelos / PA",4,Portuguesa,1,46.9
103,33,2024-02-02,20:10:00,"Conjunto Emilly Câmara, 39, Conjunto Serra Verde, 08300-495 da Mota / MG",3,Mussarela,3,125.7
104,6,2024-01-06,20:40:00,"Recanto Silveira, 86, Itapoa, 86839-870 Dias de Albuquerque / DF",6,Quatro Queijos,3,146.7
105,68,2024-03-08,22:50:00,"Alameda de da Costa, 23, Cabana Do Pai Tomás, 78591-285 Cardoso / SC",1,Margherita,1,39.9
106,37,2024-02-06,21:30:00,"Morro Levi Lima, Dom Joaquim, 09826-090 Marques de Fernandes / PI",2,Calabresa,2,85.8
107,11,2024-01-11,21:45:00,"Vale de Ferreira, 8, Vila Madre Gertrudes 2ª Seção, 74614-302 Fogaça / MG",1,Margherita,2,79.8
108,87,2024-03-27,18:45:00,"Jardim Vicente Correia, 51, Nossa Senhora Da Aparecida, 29889085 Machado / BA",9,Chocolate,2,89.8
109,53,2024-02-22,23:00:00,"Residencial de Casa Grande, 78, São José, 12336713 Rocha dos Dourados / AL",2,Calabresa,1,42.9
110,50,2024-02-19,23:15:00,"Aeroporto de Pastor, 5, Delta, 32043560 Viana / GO",9,Chocolate,1,44.9
111,17,2024-01-17,21:15:00,"Praça Ana Júlia Duarte, 75, Jardim Leblon, 10770-988 Cassiano do Amparo / BA",2,Calabresa,3,128.7
112,50,2024-02-19,21:10:00,"Parque Santos, 71, Confisco, 89600-558 Sousa / BA",2,Calabresa,3,128.7
113,42,2024-02-11,20:10:00,"Distrito de Castro, 79, Aparecida 7ª Seção, 11302820 Borges de Cardoso / AC",6,Quatro Queijos,1,48.9
114,31,2024-01-31,19:00:00,"Lago Alves, 99, Cachoeirinha, 36297-161 Silveira / PE",1,Margherita,2,79.8
115,36,2024-02-05,22:15:00,"Ladeira de Aparecida, 84, Dom Cabral, 39766092 Ferreira de Moura / AP",1,Margherita,2,79.8
116,28,2024-01-28,21:20:00,"Passarela Pimenta, 94, Nossa Senhora Aparecida, 70223-450 Casa Grande / RR",5,Frango com Catupiry,1,49.9
117,9,2024-01-09,18:15:00,"Recanto Vieira, 6, Canadá, 84715470 Vargas / RJ",8,Vegetariana,2,95.8
118,20,2024-01-20,18:40:00,"Ladeira de Castro, 26, São Pedro, 93427-800 Cirino / PR",2,Calabresa,2,85.8
119,75,2024-03-15,21:20:00,"Feira Luiz Miguel das Neves, Granja Werneck, 24333-260 Fernandes / ES",3,Mussarela,3,125.7
120,58,2024-02-27,18:50:00,"Praça de Lopes, 88, Serra, 34425-315 Souza / PA",9,Chocolate,2,89.8
121,37,2024-02-06,19:15:00,"Quadra de Almeida, 83, Leticia, 93650971 Caldeira / SP",9,Chocolate,1,44.9
122,9,2024-01-09,22:30:00,"Parque Mendes, 89, Vila Jardim Montanhes, 03306334 Lima das Flores / MT",2,Calabresa,3,128.7
123,28,2024-01-28,18:40:00,"Parque Lima, 30, Serrano, 54156188 Martins / CE",9,Chocolate,2,89.8
124,15,2024-01-15,20:10:00,"Condomínio Viana, 6, Vila Nova Cachoeirinha 1ª Seção, 63225496 Rios / SC",10,Banana com Canela,3,131.7
125,84,2024-03-24,19:40:00,"Viaduto de Ribeiro, Cidade Jardim, 59826-306 Marques de Goiás / PI",3,Mussarela,1,41.9
126,64,2024-03-04,18:50:00,"Viaduto Ana Vitória da Cunha, 3, Vila Bandeirantes, 95031843 Andrade / CE",5,Frango com Catupiry,1,49.9
127,69,2024-03-09,22:30:00,"Viaduto Ana Beatriz Campos, 528, Andiroba, 29464327 Cardoso da Praia / PR",10,Banana com Canela,3,131.7
128,73,2024-03-13,21:45:00,"Rodovia Ribeiro, 43, Outro, 66254-322 Pinto de Carvalho / MS",8,Vegetariana,2,95.8
129,87,2024-03-27,20:10:00,"Ladeira de Vieira, 709, Vila Antena, 44417849 Pires / AL",8,Vegetariana,2,95.8
130,86,2024-03-26,20:40:00,"Vila de Câmara, 40, Vila Suzana Segunda Seção, 00258206 Marques / RN",1,Margherita,3,119.7
131,47,2024-02-16,18:20:00,"Setor Montenegro, 79, Cabana Do Pai Tomás, 26470608 Casa Grande / SE",9,Chocolate,2,89.8
132,54,2024-02-23,20:50:00,"Área Peixoto, 216, Jardim Do Vale, 48375-431 Caldeira / GO",2,Calabresa,1,42.9
133,69,2024-03-09,22:45:00,"Praia Porto, São Bernardo, 27956154 Macedo / TO",1,Margherita,1,39.9
134,32,2024-02-01,23:00:00,"Lagoa Lima, 32, Brasil Industrial, 50341-531 Novais do Norte / PI",9,Chocolate,2,89.8
135,56,2024-02-25,20:10:00,"Jardim Aragão, 32, Lindéia, 62153532 Barros do Oeste / CE",2,Calabresa,1,42.9
136,23,2024-01-23,22:00:00,"Rua Luísa Santos, 60, Chácara Leonina, 55729671 Cavalcante do Oeste / GO",2,Calabresa,2,85.8
137,75,2024-03-15,20:30:00,"Distrito Vieira, 17, Vila Mantiqueira, 79640-768 Jesus das Flores / PB",7,Pepperoni,2,105.8
138,5,2024-01-05,22:30:00,"Parque de Rocha, 433, Lagoa, 29814947 Borges das Pedras / PE",8,Vegetariana,1,47.9
139,65,2024-03-05,23:30:00,"Vila Olivia Silva, 10, Glória, 75514-952 Rocha de Lima / CE",3,Mussarela,2,83.8
140,52,2024-02-21,18:50:00,"Lago Clarice Farias, 8, Vila Califórnia, 19356-115 Albuquerque / RS",9,Chocolate,2,89.8
141,28,2024-01-28,21:15:00,"Pátio Santos, Vila Batik, 79645614 Barbosa / DF",1,Margherita,3,119.7
142,31,2024-01-31,18:00:00,"Travessa Matheus Camargo, 20, Dona Clara, 34742861 Novaes de Nunes / RS",6,Quatro Queijos,3,146.7
143,90,2024-03-30,22:10:00,"Área de Borges, Vila Independencia 2ª Seção, 58794-092 Sá / MS",10,Banana com Canela,1,43.9
144,72,2024-03-12,21:20:00,"Viela Davi Miguel Cunha, 713, Conjunto São Francisco De Assis, 85777326 Monteiro de Castro / MG",1,Margherita,2,79.8
145,91,2024-03-31,22:45:00,"Trevo Marina Mendonça, Alto Das Antenas, 28509324 Guerra do Campo / AP",1,Margherita,2,79.8
146,17,2024-01-17,18:45:00,"Vereda Porto, 34, Inconfidência, 03959-132 Teixeira de Minas / TO",3,Mussarela,1,41.9
147,85,2024-03-25,22:40:00,"Vereda Machado, 248, Maria Goretti, 61442204 Correia de Minas / SE",1,Margherita,1,39.9
148,5,2024-01-05,22:10:00,"Quadra Nascimento, 619, Mangabeiras, 63847-685 Carvalho / AC",9,Chocolate,1,44.9
149,6,2024-01-06,21:00:00,"Chácara Nunes, 7, Alta Tensão 2ª Seção, 62326-209 Mendes / MT",4,Portuguesa,1,46.9
150,21,2024-01-21,20:50:00,"Viela de Sampaio, 13, Senhor Dos Passos, 35467-245 da Cruz de Correia / DF",7,Pepperoni,2,105.8
151,45,2024-02-14,21:45:00,"Fazenda de Silveira, 68, Palmeiras, 50973011 Mendes / MA",6,Quatro Queijos,2,97.8
152,9,2024-01-09,20:30:00,"Rua Vargas, 64, Universitário, 53289-154 da Mota / PI",6,Quatro Queijos,3,146.7
153,24,2024-01-24,18:00:00,"Ladeira Luna Ferreira, 54, Cônego Pinheiro 1ª Seção, 76262116 da Mota / PR",9,Chocolate,1,44.9
154,8,2024-01-08,21:50:00,"Estação de Casa Grande, 7, Esperança, 08422146 da Rocha do Sul / MS",9,Chocolate,2,89.8
155,8,2024-01-08,22:45:00,"Campo de Mendonça, Casa Branca, 93579728 Guerra / SP",7,Pepperoni,2,105.8
156,87,2024-03-27,23:20:00,"Jardim de Fogaça, 82, Venda Nova, 51570946 Fogaça do Oeste / RO",9,Chocolate,2,89.8
157,9,2024-01-09,23:20:00,"Parque de Camargo, União, 25909-032 Fonseca dos Dourados / AC",7,Pepperoni,2,105.8
158,26,2024-01-26,18:20:00,"Rua Almeida, 94, Conjunto Paulo Vi, 01590-296 Albuquerque / MG",4,Portuguesa,3,140.7
159,78,2024-03-18,18:30:00,"Via Bárbara da Cunha, Vila Paquetá, 59253-941 Leão do Sul / PI",5,Frango com Catupiry,2,99.8
160,59,2024-02-28,18:50:00,"Passarela Albuquerque, 96, Luxemburgo, 58061245 Pereira / GO",8,Vegetariana,3,143.7
161,17,2024-01-17,19:20:00,"Largo Elisa Siqueira, Satelite, 02162577 da Rosa / BA",8,Vegetariana,2,95.8
162,79,2024-03-19,18:45:00,"Distrito de Azevedo, 21, Ipe, 36025-410 Cavalcanti / PB",9,Chocolate,2,89.8
163,57,2024-02-26,21:50:00,"Quadra Maysa Peixoto, 974, Jardim América, 16313-815 da Costa / MA",6,Quatro Queijos,3,146.7
164,5,2024-01-05,20:00:00,"Viela Ian Câmara, 5, Conjunto Minas Caixa, 45111506 Costela de Dias / SP",3,Mussarela,3,125.7
165,61,2024-03-01,20:00:00,"Estação Lima, Outro, 37659559 da Luz do Amparo / AP",7,Pepperoni,2,105.8
166,68,2024-03-08,21:00:00,"Chácara Nunes, 205, Vila São Francisco, 92962-296 da Conceição do Norte / SC",9,Chocolate,1,44.9
167,87,2024-03-27,19:00:00,"Jardim João Vitor Mendes, 41, Alto Caiçaras, 41366493 Barros / SP",9,Chocolate,2,89.8
168,49,2024-02-18,19:40:00,"Favela Lima, Calafate, 93643-453 Siqueira Alegre / MA",10,Banana com Canela,2,87.8
169,47,2024-02-16,18:50:00,"Chácara Freitas, 56, Olhos D'água, 37110497 Sales / ES",1,Margherita,1,39.9
170,3,2024-01-03,23:30:00,"Favela de Correia, 3, Vila Paris, 34209-708 Duarte / ES",8,Vegetariana,1,47.9
171,14,2024-01-14,22:00:00,"Largo de Almeida, 64, Vila Antena, 27681297 Moreira / AM",5,Frango com Catupiry,2,99.8
172,15,2024-01-15,23:40:00,"Núcleo Gabriel Araújo, Unidas, 87708259 Rocha / MG",9,Chocolate,1,44.9
173,68,2024-03-08,19:45:00,"Viela Vieira, 80, Engenho Nogueira, 86812-048 Ferreira / GO",1,Margherita,3,119.7
174,51,2024-02-20,21:30:00,"Trevo de Vasconcelos, 33, Novo Ouro Preto, 41734-651 Marques de Minas / RN",3,Mussarela,1,41.9
175,62,2024-03-02,19:30:00,"Praça de Machado, Vila Formosa, 27287-164 Viana / SP",2,Calabresa,3,128.7
176,59,2024-02-28,22:30:00,"Rua de Moura, Jardim América, 56978-328 Barbosa / SC",4,Portuguesa,1,46.9
177,8,2024-01-08,21:00:00,"Aeroporto Maria Vitória Silva, 80, Santo Agostinho, 47256372 Sousa / SP",2,Calabresa,2,85.8
178,26,2024-01-26,23:15:00,"Trevo de Albuquerque, 314, Céu Azul, 06137-657 Garcia das Pedras / BA",3,Mussarela,1,41.9
179,59,2024-02-28,19:00:00,"Rodovia Martins, 33, Olaria, 63598457 Fernandes / PE",9,Chocolate,3,134.7
180,42,2024-02-11,23:00:00,"Esplanada Vitor Gabriel Nogueira, 16, Atila De Paiva, 17827-825 Machado / DF",5,Frango com Catupiry,3,149.7
181,90,2024-03-30,18:00:00,"Recanto Dante Peixoto, 890, Vila São João Batista, 62585-082 Novais do Oeste / RJ",9,Chocolate,3,134.7
182,12,2024-01-12,23:15:00,"Vila João Felipe da Mata, 81, Vista Do Sol, 02732-575 Machado / GO",9,Chocolate,3,134.7
183,83,2024-03-23,22:50:00,"Alameda de Brito, 42, Flavio De Oliveira, 93330742 Pastor de Goiás / SE",3,Mussarela,3,125.7
184,21,2024-01-21,18:10:00,"Lago Oliveira, 37, Vila Jardim Leblon, 21415-166 Nunes de Aparecida / PB",2,Calabresa,2,85.8
185,39,2024-02-08,21:45:00,"Esplanada Benjamin Dias, 7, Vila Pinho, 28742894 Brito do Oeste / AM",4,Portuguesa,2,93.8
186,86,2024-03-26,18:15:00,"Morro Marina Cardoso, 76, Ambrosina, 29799462 Fogaça / DF",10,Banana com Canela,1,43.9
187,29,2024-01-29,19:10:00,"Sítio da Paz, 99, Dona Clara, 56166366 Lopes / PR",1,Margherita,3,119.7
188,8,2024-01-08,18:00:00,"Travessa de Mendonça, 348, Conjunto São Francisco De Assis, 29240009 Sales / RS",3,Mussarela,2,83.8
189,57,2024-02-26,20:30:00,"Via de da Paz, Vila Betânia, 75319-836 da Cunha do Campo / AP",6,Quatro Queijos,3,146.7
190,58,2024-02-27,20:50:00,"Viaduto de das Neves, São Benedito, 99422087 Fernandes de Goiás / MT",9,Chocolate,2,89.8
191,35,2024-02-04,21:10:00,"Rodovia Souza, 90, Savassi, 02083979 Costela / AM",6,Quatro Queijos,1,48.9
192,88,2024-03-28,18:45:00,"Quadra Maysa Costa, 18, Conjunto Paulo Vi, 66571-097 das Neves / RN",10,Banana com Canela,2,87.8
193,22,2024-01-22,22:15:00,"Favela Câmara, 69, Vila Copasa, 68154-339 Pimenta Alegre / SP",4,Portuguesa,3,140.7
194,6,2024-01-06,21:10:00,"Rua Azevedo, 34, Marieta 3ª Seção, 24617-866 Moraes das Flores / SE",5,Frango com Catupiry,2,99.8
195,52,2024-02-21,23:20:00,"Colônia Samuel Albuquerque, 84, Santa Efigênia, 15063048 Peixoto dos Dourados / DF",6,Quatro Queijos,2,97.8
